Reporting Year,Licence Profile,Waste Source,Waste Action,List of Waste Code,Low Code Description,Respondent Waste Description,Accepted Waste Quantity,Accepted waste quantity from abroad,Accepted Waste Quantity from Ireland,On Site Waste Treatment Type,Waste Quantity Tonnes per Year,Next Destination Waste Treatment Type,Final Destination Abroad,Final Destination Waste Treatment Type
2022,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,15 01 01,paper and cardboard packaging,paper and cardboard packaging,49.58,0.0,49.58,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2022,Ashgrove Recycling - W0147,Accepted,Transferred,15 01 01,paper and cardboard packaging,cardboard packaging,,,,,130.06,,No,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)"
2022,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,15 01 02,plastic packaging,plastic packaging,0.78,0.0,0.78,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2022,Ashgrove Recycling - W0147,Accepted,Transferred,15 01 02,plastic packaging,plastic packaging,,,,,15.22,,No,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)"
2022,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,15 01 03,wooden packaging,wooden packaging,6.36,0.0,6.36,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2022,Ashgrove Recycling - W0147,Accepted,Transferred,15 01 03,wooden packaging,Wooden Packaging ,,,,,45.44,,No,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)"
2022,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,15 01 07,glass packaging,glass packaging,569.84,0.0,569.84,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2022,Ashgrove Recycling - W0147,Accepted,Transferred,15 01 07,glass packaging,glass packaging,,,,,584.42,,No,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)"
2022,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,16 01 03,end-of-life tyres,Municipal mixed dry recyclables non-household,0.28,0.0,0.28,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2022,Ashgrove Recycling - W0147,Accepted,Transferred,16 01 03,end-of-life tyres,tyres,,,,,7.8,,No,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)"
2022,Ashgrove Recycling - W0147,Accepted,Transferred,16 01 20,Glass,Windscreens ,,,,,54.44,,No,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)"
2022,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,17 01 07,"mixtures of concrete, bricks, tiles and ceramics other than those mentioned in 17 01 06","mixtures of concrete, bricks, tiles and ceramics",1776.36,0.0,1776.36,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2022,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,17 02 01,Wood,wood,311.74,0.0,311.74,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2022,Ashgrove Recycling - W0147,Accepted,Transferred,17 02 01,Wood,Wood,,,,,122.66,,Yes,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)"
2022,Ashgrove Recycling - W0147,Accepted,Transferred,17 02 01,Wood,Wood,,,,,3.66,,No,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)"
2022,Ashgrove Recycling - W0147,Accepted,Transferred,17 02 01,Wood,Wood,,,,,1032.52,,No,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)"
2022,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,17 02 02,Glass,Glass,57.5,0.0,57.5,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2022,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,17 02 03,Plastic,Plastic C & D ,9.5,0.0,9.5,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2022,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,17 03 02,bituminous mixtures other than those mentioned in 17 03 01,bituminous mixtures,20.06,0.0,20.06,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2022,Ashgrove Recycling - W0147,Accepted,Transferred,17 03 02,bituminous mixtures other than those mentioned in 17 03 01,Concrete,,,,,1866.96,,No,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)"
2022,Ashgrove Recycling - W0147,Accepted,Transferred,17 03 02,bituminous mixtures other than those mentioned in 17 03 01,bitumin,,,,,4.0,,No,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)"
2022,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,17 04 02,Aluminium,Aluminium,3.1,0.0,3.1,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2022,Ashgrove Recycling - W0147,Accepted,Transferred,17 04 02,Aluminium,Aluminium,,,,,6.68,,No,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)"
2022,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,17 04 07,mixed metals,Mixed metals ,24.96,0.0,24.96,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2022,Ashgrove Recycling - W0147,Accepted,Transferred,17 04 07,mixed metals,Mixed metal,,,,,758.22,,No,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)"
2022,Ashgrove Recycling - W0147,Accepted,Transferred,17 04 07,mixed metals,mixed metal,,,,,9.06,,No,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)"
2022,Ashgrove Recycling - W0147,Accepted,Transferred,17 04 11,cables other than those mentioned in 17 04 10,Cable,,,,,4.96,,No,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)"
2022,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,17 05 04,soil and stones other than those mentioned in 17 05 03,soil and stones ,456.68,0.0,456.68,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2022,Ashgrove Recycling - W0147,Accepted,Transferred,17 05 04,soil and stones other than those mentioned in 17 05 03,Soil & Stone,,,,,371.4,,No,R10 - Land treatment resulting in benefit to agriculture or ecological improvement
2022,Ashgrove Recycling - W0147,Accepted,Transferred,17 05 04,soil and stones other than those mentioned in 17 05 03,Soil & Stone,,,,,30.0,,No,R10 - Land treatment resulting in benefit to agriculture or ecological improvement
2022,Ashgrove Recycling - W0147,Accepted,Transferred,17 05 04,soil and stones other than those mentioned in 17 05 03,Soil & Stone,,,,,211.52,,No,R10 - Land treatment resulting in benefit to agriculture or ecological improvement
2022,Ashgrove Recycling - W0147,Accepted,Transferred,17 05 04,soil and stones other than those mentioned in 17 05 03,Soil & Stone,,,,,428.04,,No,R10 - Land treatment resulting in benefit to agriculture or ecological improvement
2022,Ashgrove Recycling - W0147,Accepted,Transferred,17 05 04,soil and stones other than those mentioned in 17 05 03,soil and stones,,,,,22.24,,No,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)"
