Reporting Year,Licence Profile,Waste Source,Waste Action,List of Waste Code,Low Code Description,Respondent Waste Description,Accepted Waste Quantity,Accepted waste quantity from abroad,Accepted Waste Quantity from Ireland,On Site Waste Treatment Type,Waste Quantity Tonnes per Year,Next Destination Waste Treatment Type,Final Destination Abroad,Final Destination Waste Treatment Type
2023,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,15 01 01,paper and cardboard packaging,Cardboard ,41.64,0.0,41.64,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2023,Ashgrove Recycling - W0147,Accepted,Transferred,15 01 01,paper and cardboard packaging,Cardboard,,,,,102.62,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
2023,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,15 01 02,plastic packaging,Plastic packaging ,0.36,0.0,0.36,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2023,Ashgrove Recycling - W0147,Accepted,Transferred,15 01 02,plastic packaging,Plastic Packaging ,,,,,9.04,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
2023,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,15 01 03,wooden packaging,Wooden Packaging ,0.44,0.0,0.44,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2023,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,15 01 07,glass packaging,Glass,2345.34,0.0,2345.34,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2023,Ashgrove Recycling - W0147,Accepted,Transferred,15 01 07,glass packaging,Glass,,,,,2250.14,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
2023,Ashgrove Recycling - W0147,Accepted,Transferred,16 01 03,end-of-life tyres,Tyres,,,,,5.64,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
2023,Ashgrove Recycling - W0147,Accepted,Transferred,16 01 20,Glass,Windscreens ,,,,,59.52,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
2023,Ashgrove Recycling - W0147,Accepted,Transferred,17 01 01,Concrete,Concrete,,,,,1358.07,,No,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)"
2023,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,17 01 07,"mixtures of concrete, bricks, tiles and ceramics other than those mentioned in 17 01 06",Rubble ,1301.16,0.0,1301.16,R05 - Recovery of inorganic materials in the form of backfilling,,,,
2023,Ashgrove Recycling - W0147,Accepted,Transferred,17 01 07,"mixtures of concrete, bricks, tiles and ceramics other than those mentioned in 17 01 06",Concrete,,,,,45.07,,No,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)"
2023,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,17 02 01,Wood,Wood,519.56,0.0,519.56,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2023,Ashgrove Recycling - W0147,Accepted,Transferred,17 02 01,Wood,Wood,,,,,1058.36,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
2023,Ashgrove Recycling - W0147,Accepted,Transferred,17 02 01,Wood,Wood,,,,,111.02,,Yes,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)"
2023,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,17 02 02,Glass,Plate Glass ,65.6,0.0,65.6,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2023,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,17 02 03,Plastic,Plastic ,8.82,0.0,8.82,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2023,Ashgrove Recycling - W0147,Accepted,Transferred,17 02 03,Plastic,Plastic,,,,,32.86,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
