Reporting Year,Licence Profile,Waste Source,Waste Action,List of Waste Code,Low Code Description,Respondent Waste Description,Accepted Waste Quantity,Accepted waste quantity from abroad,Accepted Waste Quantity from Ireland,On Site Waste Treatment Type,Waste Quantity Tonnes per Year,Next Destination Waste Treatment Type,Final Destination Abroad,Final Destination Waste Treatment Type
2021,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,15 01 01,paper and cardboard packaging,Cardboard,40.58,0.0,40.58,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2021,Ashgrove Recycling - W0147,Accepted,Transferred,15 01 01,paper and cardboard packaging,Cardboard,,,,,97.88,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
2021,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,15 01 02,plastic packaging,plastic packaging,0.06,0.0,0.06,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2021,Ashgrove Recycling - W0147,Accepted,Transferred,15 01 02,plastic packaging,Plastic Packaging,,,,,7.64,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
2021,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,15 01 03,wooden packaging,wooden packaging,0.26,0.0,0.26,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2021,Ashgrove Recycling - W0147,Accepted,Transferred,15 01 03,wooden packaging,wooden packaging,,,,,54.88,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
2021,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,15 01 07,glass packaging,glass packaging,205.68,0.0,205.68,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2021,Ashgrove Recycling - W0147,Accepted,Transferred,15 01 07,glass packaging,glass packaging,,,,,194.74,,No,R11 - Use of waste obtained from any of the operations numbered R 1 to R 10
2021,Ashgrove Recycling - W0147,Accepted,Transferred,16 01 03,end-of-life tyres,Waste Tyres,,,,,8.76,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
2021,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,16 01 20,Glass,Windscreens,0.22,0.0,0.22,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2021,Ashgrove Recycling - W0147,Accepted,Transferred,16 01 20,Glass,Windscreens,,,,,71.06,,No,R05 - Preparing for reuse of inorganic materials
2021,Ashgrove Recycling - W0147,Accepted,Transferred,16 06 01*,lead batteries,Car batteries,,,,,0.14,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",No,
2021,Ashgrove Recycling - W0147,Accepted,Transferred,17 01 01,Concrete,Rubble,,,,,918.28,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
2021,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,17 01 07,"mixtures of concrete, bricks, tiles and ceramics other than those mentioned in 17 01 06",Rubble,1163.24,0.0,1163.24,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2021,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,17 02 01,Wood,Wood ,260.2,0.0,260.2,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2021,Ashgrove Recycling - W0147,Accepted,Transferred,17 02 01,Wood,Wood Chip,,,,,1136.12,,No,R01 - Incineration plant (use as fuel) - non-hazardous waste
2021,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,17 02 02,Glass,Plate Glass,69.0,0.0,69.0,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2021,Ashgrove Recycling - W0147,Accepted,Transferred,17 02 03,Plastic,Plastic,,,,,42.6,,No,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)"
2021,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,17 03 02,bituminous mixtures other than those mentioned in 17 03 01,Bitumen ,13.24,0.0,13.24,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2021,Ashgrove Recycling - W0147,Accepted,Transferred,17 03 02,bituminous mixtures other than those mentioned in 17 03 01,bitumin,,,,,4.3,,No,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)"
2021,Ashgrove Recycling - W0147,Accepted,Transferred,17 04 01,"copper, bronze, brass",Clopper,,,,,0.64,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",No,
2021,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,17 04 02,Aluminium,Aluminum,0.22,0.0,0.22,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2021,Ashgrove Recycling - W0147,Accepted,Transferred,17 04 02,Aluminium,Aluminium,,,,,0.24,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
2021,Ashgrove Recycling - W0147,Accepted,Transferred,17 04 02,Aluminium,Aluminium,,,,,18.74,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
2021,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,17 04 07,mixed metals,Mixed metals,65.44,0.0,65.44,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2021,Ashgrove Recycling - W0147,Accepted,Transferred,17 04 07,mixed metals,Mixed metal,,,,,850.59,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
2021,Ashgrove Recycling - W0147,Accepted,Transferred,17 04 07,mixed metals,Mixed Metals,,,,,78.86,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
2021,Ashgrove Recycling - W0147,Accepted,Transferred,17 04 11,cables other than those mentioned in 17 04 10,Cable,,,,,6.24,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
2021,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,17 05 04,soil and stones other than those mentioned in 17 05 03,Soil and Stones,232.88,0.0,232.88,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
